 ,Min1,Max1,X1,Y1,Min2,Max2,X2,Y2,Min3,Max3,X3,Y3,Min4,Max4,X4,Y4,Min5,Max5,X5,Y5
1,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
2,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
3,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
4,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
5,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
6,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
7,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
8,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
9,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
10,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
11,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
12,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
13,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
14,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
15,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
16,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
17,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
18,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
19,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
20,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
21,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
22,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
23,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
24,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
25,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
26,0,0,45.521,125.603,0,1,42.161,125.843,0,0,51.121,126.643,0,3,53.921,128.403,0,5,57.761,128.643
27,0,1,45.521,125.603,5,19,42.161,125.843,1,5,51.121,126.643,3,56,53.921,128.403,4,32,57.761,128.643
28,4,32,45.521,125.603,10,127,42.161,125.843,5,44,51.121,126.643,7,123,53.921,128.403,6,132,57.761,128.643
29,10,177,45.521,125.603,17,474,42.161,125.843,6,199,51.121,126.643,6,193,53.921,128.403,6,336,57.761,128.643
30,10,480,45.521,125.603,13,476,42.161,125.843,4,336,51.121,126.643,2,185,53.921,128.403,6,321,57.761,128.643
31,7,541,45.521,125.603,3,186,42.161,125.843,2,283,51.121,126.643,2,17,53.921,128.403,2,118,57.761,128.643
32,4,201,45.521,125.603,1,3,42.161,125.843,1,32,51.121,126.643,1,2,53.921,128.403,1,12,57.761,128.643
33,1,6,45.521,125.603,0,0,42.161,125.843,1,2,51.121,126.643,0,1,53.921,128.403,0,1,57.761,128.643
34,0,0,45.521,125.603,0,0,42.161,125.843,0,1,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
35,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
36,0,0,45.521,125.603,0,0,42.161,125.843,0,1,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
37,0,0,45.521,125.603,0,0,42.161,125.843,0,1,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
38,0,0,45.521,125.603,0,0,42.161,125.843,0,1,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
39,0,0,45.521,125.603,0,0,42.161,125.843,0,1,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
40,0,0,45.521,125.603,0,0,42.161,125.843,0,1,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
41,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
42,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
43,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
44,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
45,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
46,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
47,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
48,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
49,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
50,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
51,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
52,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
53,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
54,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
55,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
56,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
57,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
58,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
59,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
60,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
61,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
62,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
63,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
64,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
65,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
66,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
67,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
68,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
69,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
70,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
71,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
72,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
73,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
74,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
75,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
76,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
77,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
78,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
79,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
80,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
81,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
82,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
83,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
84,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
85,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
86,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
87,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
88,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
89,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
90,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
91,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
92,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
93,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
94,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
95,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
96,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
97,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
98,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
99,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
100,0,0,45.521,125.603,0,0,42.161,125.843,0,0,51.121,126.643,0,0,53.921,128.403,0,0,57.761,128.643
